# orbit-census-v1 golden vectors; generated by tools/make_orbit_vectors.py; do not edit
census	orbit-census-v1 2 0 2 0 2 2 2 0 2 2 1 0 0 1
census	orbit-census-v1 2 1 2 0 2 2 2 0 4 2 1 0 0 2
census	orbit-census-v1 3 0 3 0 3 3 3 1 3 2 1 2 1 1
census	orbit-census-v1 5 1 5 0 5 5 5 2 15 3 1 3 1 3
census	orbit-census-v1 7 3 7 0 7 7 7 6 21 3 1 1 2 3
census	orbit-census-v1 7 3 0 0 7 7 0 0 0 0 0 0 0 0
census	orbit-census-v1 7 3 1 0 7 7 0 0 0 0 0 0 0 0
census	orbit-census-v1 7 3 2 0 7 7 0 0 0 0 0 0 0 0
census	orbit-census-v1 11 0 11 0 11 11 11 5 35 6 1 2 1 4
census	orbit-census-v1 13 12 13 0 13 13 13 14 36 5 1 6 3 3
census	orbit-census-v1 13 5 13 4 4 0 0 0 0 0 0 0 0 0
census	orbit-census-v1 13 5 13 13 13 0 0 0 0 0 0 0 0 0
census	orbit-census-v1 101 7 101 0 101 101 101 957 287 9 1 22 21 2
census	orbit-census-v1 101 7 9 0 101 101 39 99 163 9 1 0 2 7
census	orbit-census-v1 257 255 257 0 257 257 257 961 1013 65 1 5 8 1
census	orbit-census-v1 1009 2 1009 100 700 600 600 12282 7292 12 1 481 56 13
census	orbit-census-v1 1009 2 40 0 1009 1009 715 8861 8387 21 1 151 27 13
census	orbit-census-v1 4093 1 4093 0 4093 4093 4093 212516 64653 33 1 1038 112 17
census	orbit-census-v1 4093 4092 60 0 4093 4093 269 509 14902 58 1 28 4 56
census	orbit-census-v1 4093 17 4093 4000 4093 93 93 2857 9417 0 1 4091 85 120
census	orbit-census-v1 65537 3 65537 0 512 512 512 50347 73677 2 1 5 307 134
census	orbit-census-v1 16777213 1 16777213 0 4 4 4 3588 14090 0 1 0 430 4393
tampered	mismatch:n	orbit-census-v1 7 3 7 0 7 8 7 6 21 3 1 1 2 3
tampered	mismatch:resolved	orbit-census-v1 7 3 7 0 7 7 8 6 21 3 1 1 2 3
tampered	mismatch:sum_mu	orbit-census-v1 7 3 7 0 7 7 7 7 21 3 1 1 2 3
tampered	mismatch:sum_lambda	orbit-census-v1 7 3 7 0 7 7 7 6 22 3 1 1 2 3
tampered	mismatch:periodic	orbit-census-v1 7 3 7 0 7 7 7 6 21 4 1 1 2 3
tampered	mismatch:has_w	orbit-census-v1 7 3 7 0 7 7 7 6 21 3 2 1 2 3
tampered	mismatch:w_seed	orbit-census-v1 7 3 7 0 7 7 7 6 21 3 1 2 2 3
tampered	mismatch:w_mu	orbit-census-v1 7 3 7 0 7 7 7 6 21 3 1 1 3 3
tampered	mismatch:w_lambda	orbit-census-v1 7 3 7 0 7 7 7 6 21 3 1 1 2 4
tampered	mismatch:n	orbit-census-v1 101 7 101 0 101 102 101 957 287 9 1 22 21 2
tampered	mismatch:resolved	orbit-census-v1 101 7 101 0 101 101 102 957 287 9 1 22 21 2
tampered	mismatch:sum_mu	orbit-census-v1 101 7 101 0 101 101 101 958 287 9 1 22 21 2
tampered	mismatch:sum_lambda	orbit-census-v1 101 7 101 0 101 101 101 957 288 9 1 22 21 2
tampered	mismatch:periodic	orbit-census-v1 101 7 101 0 101 101 101 957 287 10 1 22 21 2
tampered	mismatch:has_w	orbit-census-v1 101 7 101 0 101 101 101 957 287 9 2 22 21 2
tampered	mismatch:w_seed	orbit-census-v1 101 7 101 0 101 101 101 957 287 9 1 23 21 2
tampered	mismatch:w_mu	orbit-census-v1 101 7 101 0 101 101 101 957 287 9 1 22 22 2
tampered	mismatch:w_lambda	orbit-census-v1 101 7 101 0 101 101 101 957 287 9 1 22 21 3
request-malformed	p	1 0 1 0 1
request-malformed	p	9 0 9 0 9
request-malformed	p	4294967311 0 1 0 1
request-malformed	c	7 7 7 0 7
request-malformed	cap	7 0 4294967296 0 7
request-malformed	lo	7 0 7 5 4
request-malformed	hi	7 0 7 0 8
decode-malformed	arity	
decode-malformed	arity	orbit-census-v2 7 3 7 0 7 7 7 0 0 0 0 0 0 0
decode-malformed	arity	orbit-census-v1 7 3 7 0 7
decode-malformed	arity	orbit-census-v1 7 3 7 0 7 7 7 0 0 0 0 0 0 0 0
decode-malformed	arity	orbit-census-v1 7 3 7 0 7  7 7 0 0 0 0 0 0 0
decode-malformed	p	orbit-census-v1 07 3 7 0 7 7 7 0 0 0 0 0 0 0
decode-malformed	c	orbit-census-v1 7 +3 7 0 7 7 7 0 0 0 0 0 0 0
decode-malformed	cap	orbit-census-v1 7 3 4294967296 0 7 7 7 0 0 0 0 0 0 0
decode-malformed	n	orbit-census-v1 7 3 7 0 7 -7 7 0 0 0 0 0 0 0
decode-malformed	w_lambda	orbit-census-v1 7 3 7 0 7 7 7 0 0 0 0 0 0 x
decode-malformed	sum_mu	orbit-census-v1 7 3 7 0 7 7 7 ١ 0 0 0 0 0 0
